drink_name,origin_planet,toxicity_level,price,status,created_at
Region,all,8,1169.62,pending,2025-05-24T08:02:54.189948
Season,protect,3,2404.44,archived,2025-02-05T08:02:54.190043
You,site,7,3842.88,pending,2025-11-23T08:02:54.190108
Structure,stop,3,3807.56,archived,2025-03-02T08:02:54.190176
Treatment,add,1,601.6,active,2025-05-13T08:02:54.190430
Party,eat,6,2333.71,inactive,2025-06-18T08:02:54.190617
Carry,room,3,3365.6,active,2025-02-20T08:02:54.190722
Boy,after,5,1063.08,archived,2025-12-10T08:02:54.190809
Factor,main,2,1601.68,pending,2025-11-01T08:02:54.190891
Sometimes,artist,4,119.6,archived,2025-02-27T08:02:54.190972
